id;messageid;channelcode;messagetype;transcurrency;debtorsname;debtorsaccountid;debtorsphone;creditorsname;creditorsaccountid;creditorsphone;narration;externalreference;cbsreference;cbsstatus;cbsstatusdesc;request_instanttime;requestjson;cbsrequestxml;cbsresponsexml;amount
1;boo onto uh-hu;boot;yea;pla;provided oof;pushy that sol;alienated bonf;ah;phooey relucta;final knavishl;likewise rudely;incidentally badly blah;up colorful;yippee ext;settler amidst;2025-06-10T14:29:39;pleased;stupendous;ack;9249.52
2;woot accountab;mann;yie;ver;plus massage;hm geez traduc;psst phew inte;disapprove;deliberately n;cellar knicker;pish though disapprove;rebuff;minus waltz afford;murky mmm ;anenst;2025-06-10T11:52:52;because;monthly certify tremendously;per disconnection overtrain;19823.11
3;till label;mild;pos;bar;ew;devise brr;superb;for so;availability c;beneath;down going lovingly;adumbrate worse;but behind;naturally;density;2025-06-10T19:20:34;ugh;where not which;finally;20694.97
4;concrete obnox;skel;er;but;unsightly;geez funny sew;thoroughly pri;aside democratize accompanist;boo sadly;about;how;gadzooks even rare;potentially um whenever;noon whene;while seldom clamor;2025-06-10T18:28:10;grim depot;ouch however;uh-huh among instructor;13154.64
5;adumbrate draf;form;yip;imp;puzzled that;structure obje;ouch;husk vice gah;yippee;wonderfully;excited;yearningly who yuck;lift mid;than meanw;near populist phooey;2025-06-11T05:05:16;not;ah;loose slime;6246.25
6;yet;rose;ina;reb;around nifty convection;concerning;midst;nor;reassemble as;vice;incidentally cinch;selfishly intrigue;noxious biodegradable clean;phooey hon;speedily before mummify;2025-06-11T03:12:11;joyously;warming;indeed huzzah reluctantly;12069.46
7;anticodon;mead;huz;hea;till amongst ha;despite graft;gadzooks;off;discrete;when dense;rightfully;communicate frankly;indeed whose but;mesh boo h;writ goat packaging;2025-06-10T22:14:53;till vulgarise consequently;ew whether greedily;bah plus;3468.24
8;provided impac;frig;aw ;tow;bah council gah;provided but;tremendously a;loosely;indeed instant;splay plumber;or like;terribly comparison searchingly;amidst;beautifull;instead now yowza;2025-06-10T15:41:40;and between;whoever psst;wrathful;21068.73
9;phew aboard ci;punc;spe;und;ack ornate;aha enroll;recovery;intensely;er zealous;bah excitedly;prance;scenario geez gazebo;tighten till;magnetize ;gee;2025-06-11T07:11:19;for furthermore;though;huzzah ignorant blind;5527.8
10;density;soon;mem;abn;lighthearted whenever;absent damaged;lest import;jazz yet judgementally;lightly snoop;yowza ultimate;beautifully;when;wherever innocently faithfully;duh table ;lazily brr swiftly;2025-06-11T07:23:05;apprehensive beneath;ew;utterly;29056.76
